id;vrijeme;temp;vlaga;tlak;opis problema
FOIKŽ-DHT11;0:0:20;6.8;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOIZA-SHTC3;0:0:30;23.1;33.1;-999.0;ERROR 23 Uredaj ne postoji
FOI2-DHT11;0:0:30;22.4;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOIKŽ-DHT11;0:30:43;6.5;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOIZA-SHTC3;0:30:52;23.1;33.0;-999.0;ERROR 23 Uredaj ne postoji
FOI2-DHT11;0:30:52;22.3;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOISK-SHTC3;0:0:18;19.0;16.0;-999.0;ERROR 23 Uredaj ne postoji
FOIKŽ-DHT11;0:0:20;6.8;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOIZA-SHTC3;0:0:30;23.1;33.1;-999.0;ERROR 23 Uredaj ne postoji
FOI2-DHT11;0:0:30;22.4;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOISK-SHTC3;0:0:18;19.0;16.0;-999.0;ERROR 23 Uredaj ne postoji
FOIKŽ-DHT11;0:0:20;6.8;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOIZA-SHTC3;0:0:30;23.1;33.1;-999.0;ERROR 23 Uredaj ne postoji
FOI2-DHT11;0:0:30;22.4;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOIKŽ-DHT11;0:30:43;6.5;-999.0;-999.0;ERROR 23 Uredaj ne postoji
FOIZA-SHTC3;0:30:52;23.1;33.0;-999.0;ERROR 23 Uredaj ne postoji
FOI2-DHT11;0:30:52;22.3;-999.0;-999.0;ERROR 23 Uredaj ne postoji
